urn,full_urn,posted_at,text,url,post_type,author,stats,media,pagination_token,document,comments,reposts
7342952121291427841,urn:li:activity:7342952121291427841,"{'date': '2025-06-23 18:30:11', 'relative': '1 hour ago • Visible to anyone on or off LinkedIn', 'timestamp': 1750696211169}","From humble beginnings to launching Serac Ventures...
Kevin Moore’s story is a reminder that action beats perfection every time 👇🏻

In this episode, we go deep on:
- How fear became fuel for his entrepreneurial drive
- Why “doing what you know” is the secret to finding your next move
- The mindset that helped him break into VC (and raise his own fund)
- What most first-time fund managers get wrong about fundraising
- How Serac Ventures is using AI to evaluate founders beyond the pitch deck

If you're building from scratch — this one will light a fire under you.

→ Link in the comments!

#VentureCapital #Founder #Startup #Fundraising #VCfund #Podcast #Entrepreneur",https://www.linkedin.com/posts/sean-goldfaden_venturecapital-founder-startup-activity-7342952121291427841-NV5A?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv9MvwB3nSm4ZT9Gi_Dg6kP_zXsE9l-QUU,regular,Sean Goldfaden,"{'total_reactions': 5, 'like': 4, 'support': 1, 'love': 0, 'insight': 0, 'celebrate': 0, 'comments': 4, 'reposts': 2}","{'type': 'image', 'url': 'https://media.licdn.com/dms/image/v2/D5622AQHVcpbcw2BT3Q/feedshare-shrink_2048_1536/B56ZeJs2W.HoAw-/0/1750361928001?e=1753315200&v=beta&t=fo2cWZHaW_BL-fp2CmJwldszZdtyguJiGTu2TPWotsQ', 'images': [{'url': 'https://media.licdn.com/dms/image/v2/D5622AQHVcpbcw2BT3Q/feedshare-shrink_2048_1536/B56ZeJs2W.HoAw-/0/1750361928001?e=1753315200&v=beta&t=fo2cWZHaW_BL-fp2CmJwldszZdtyguJiGTu2TPWotsQ', 'width': 1536, 'height': 1536}]}",dXJuOmxpOmFjdGl2aXR5OjcwMjIzMjQ0NTEzNzEzNDM4NzItMTY3NDI1MjYxNzY3MQ==,,4,2
7341941942844301312,urn:li:activity:7341941942844301312,"{'date': '2025-06-20 23:36:05', 'relative': '2 days ago • Visible to anyone on or off LinkedIn', 'timestamp': 1750455365859}","I'm looking for my 1st Assistant 🚀
Yes, for yours truly.
If you know me...⬇️

or maybe you've seen a video we put out 😉 🎥 

and you think you know someone who'd be the perfect fit. 

Please make the intro 👇🏻

🎙️ Tag them in the comments
👍 'LIKE' the post & I'll reach out privately
♻️ Repost for Good Karma!

𝐌𝐮𝐬𝐭 𝐇𝐚𝐯𝐞𝐬:
-gotta be a go-getter
-loves the vc & startup ecosystem
-crushes inbox management
-wants to work directly with the CEO
-brings order to chaos
-in LA (HQ in Santa Monica)",https://www.linkedin.com/posts/sean-goldfaden_im-looking-for-my-1st-assistant-yes-activity-7341941942844301312-DcCc?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv9MvwB3nSm4ZT9Gi_Dg6kP_zXsE9l-QUU,regular,Sean Goldfaden,"{'total_reactions': 13, 'like': 9, 'support': 0, 'love': 1, 'insight': 0, 'celebrate': 3, 'comments': 6, 'reposts': 3}","{'type': 'image', 'url': 'https://media.licdn.com/dms/image/v2/D5622AQEOpa9ASdJE4Q/feedshare-shrink_2048_1536/B56ZePRSWMHQAo-/0/1750455364257?e=1753315200&v=beta&t=Hd1zkST1AMNZvPygZffbnG9U3daWoMyVTyMTT02ZYVQ', 'images': [{'url': 'https://media.licdn.com/dms/image/v2/D5622AQEOpa9ASdJE4Q/feedshare-shrink_2048_1536/B56ZePRSWMHQAo-/0/1750455364257?e=1753315200&v=beta&t=Hd1zkST1AMNZvPygZffbnG9U3daWoMyVTyMTT02ZYVQ', 'width': 960, 'height': 1484}]}",dXJuOmxpOmFjdGl2aXR5OjcwMjIzMjQ0NTEzNzEzNDM4NzItMTY3NDI1MjYxNzY3MQ==,,6,3
7341864942129582080,urn:li:ugcPost:7341540982041079809,"{'date': '2025-06-20 18:30:07', 'relative': '3 days ago • Visible to anyone on or off LinkedIn', 'timestamp': 1750437007458}","“If you want to feel better, blame others. 
If you want to get better, blame yourself.” 
– Alex Hormozi

This clip hit me hard — because it aligns perfectly with one of my favorite leadership books of all time: Extreme Ownership by Jocko Willink and Leif Babin.

Here’s the uncomfortable truth:

🛑 Victim mindset kills performance

🛠 Ownership mindset builds teams that win

When something breaks down in our agency —

I don’t ask “who messed up?”

I ask:
→ “What could I have done better?”
→ “Where did I drop the ball as a leader?”

Extreme Ownership dedicates an entire chapter to this:

There are no bad teams. Only bad leaders.

Bad leaders deflect.

Great leaders absorb.

They turn every failure into feedback.

At CoEfficient Labs, this isn’t just a leadership book on a shelf.

It’s baked into our culture — from growth hackers to video editors to software engineers.

We don’t point fingers.

We point inward.

Because when the leadership takes ownership…

the whole team starts rowing in the same direction.

🎧 Watch the full video (it’s only 60 seconds) — it might change how you lead this week.

📚 Shoutout to Alex Hormozi, Jocko Willink, & Leif Babin — your work shaped how I lead today.

❤️

#ExtremeOwnership #AlexHormozi #Leadership #Founder #CompanyCulture #Entrepreneurship #UGC #GrowthHacker #Startup #SocialMediaMarketing",https://www.linkedin.com/posts/sean-goldfaden_extremeownership-alexhormozi-leadership-activity-7341864942129582080-sYqZ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv9MvwB3nSm4ZT9Gi_Dg6kP_zXsE9l-QUU,regular,Sean Goldfaden,"{'total_reactions': 10, 'like': 10, 'support': 0, 'love': 0, 'insight': 0, 'celebrate': 0, 'comments': 0, 'reposts': 0}","{'type': 'video', 'url': 'https://dms.licdn.com/playlist/vid/v2/D5605AQEUjzXZGFKGsA/mp4-720p-30fp-crf28/B56ZeJkn.wHUBk-/0/1750359819640?e=1751310000&v=beta&t=aE7f004nm3k0zAMJWoL9dxNeO5gkIBM7vgE7hWZ0yBM'}",dXJuOmxpOmFjdGl2aXR5OjcwMjIzMjQ0NTEzNzEzNDM4NzItMTY3NDI1MjYxNzY3MQ==,,0,0
7340415388322586627,urn:li:ugcPost:7338633005688610817,"{'date': '2025-06-16 18:30:06', 'relative': '1 week ago • Visible to anyone on or off LinkedIn', 'timestamp': 1750091406899}","“There’s nothing more fun than saying yes.
But most of the job… is saying no.”
Rick Smith, Co-Founder of Crosscut Ventures

Let that sink in 👇

VC looks glamorous from the outside.

Raise a fund. Write checks. Build a portfolio of hot startups.

But according to Rick — that’s not the job.

The job is passing.

Sticking to your strike zone.

Saying no when everything in you wants to say yes.

In our latest episode of Demo Day, Rick broke down the 4 things every great deal needs:
✅ Market
✅ Product
✅ Team
✅ Valuation

Here’s the wild part…

Even if a company is GREAT —

if the entry price is wrong, the investment doesn’t work.

It’s possible to back a unicorn…

and still lose money.

That’s why Rick plays the long game.

And when he misses a winner?

He doesn’t second guess — as long as he followed his process.

🎧 Full episode is now live. 

📥 Link in the comments.

#VentureCapital #StartupInvesting #Fundraising #Founder #Investing #Investments #Podcast",https://www.linkedin.com/posts/sean-goldfaden_rick-smiths-tips-for-vc-success-activity-7340415388322586627-wkmA?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv9MvwB3nSm4ZT9Gi_Dg6kP_zXsE9l-QUU,regular,Sean Goldfaden,"{'total_reactions': 8, 'like': 8, 'support': 0, 'love': 0, 'insight': 0, 'celebrate': 0, 'comments': 1, 'reposts': 0}",,dXJuOmxpOmFjdGl2aXR5OjcwMjIzMjQ0NTEzNzEzNDM4NzItMTY3NDI1MjYxNzY3MQ==,"{'title': ""Rick Smith's Tips for VC Success"", 'page_count': 10, 'url': 'https://media.licdn.com/dms/document/media/v2/D4E1FAQGzGZYPsxJ7Hw/feedshare-document-url-metadata-scrapper-pdf/B4EZdgPaZFHYA8-/0/1749666352938?e=1751310000&v=beta&t=WGgcmkNKsm86LdrXGGqO1UYIu0bIwiMh09ii7YPDIYs', 'thumbnail': 'https://media.licdn.com/dms/image/v2/D4E1FAQGzGZYPsxJ7Hw/feedshare-document-cover-images_1920/B4EZdgPaZFHYA4-/0/1749666361821?e=1751310000&v=beta&t=WMBIL2GIR_T29PolVSWK8zJ8bV5wrMi4Ycc3irwqqPE'}",1,0
7339320686634573826,urn:li:ugcPost:7337992009300832256,"{'date': '2025-06-13 18:00:09', 'relative': '1 week ago • Visible to anyone on or off LinkedIn', 'timestamp': 1749830409678}","We showed up to hire students… 
and left with leads.
At Loyola Marymount University’s career expo, we had one goal:

→ Meet great talent.

But what we didn’t expect?

The real value wasn’t just in the students…

It was in the other tables:
- Recruiters
- Sales leaders
- Executives

All from companies we could actually help.

So we did what we always do:
- Talked to everyone
- Got the emails
- Shared what makes us different

No fancy booth.

No hard sell.

Just authentic connection.

Because whether it’s a job fair, a lunch meeting, or a yoga studio (yep, met someone from YogaWorks)...

→ It’s all a stage if you treat it like one.

If you want new business, new intros, new growth—

You can’t wait for the “right moment.”

You need to make the moment.

❤️

#founder #leadgen #marketing #b2bmarketing #entrepreneurship",https://www.linkedin.com/posts/sean-goldfaden_founder-leadgen-marketing-activity-7339320686634573826-VHsY?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv9MvwB3nSm4ZT9Gi_Dg6kP_zXsE9l-QUU,regular,Sean Goldfaden,"{'total_reactions': 2, 'like': 2, 'support': 0, 'love': 0, 'insight': 0, 'celebrate': 0, 'comments': 0, 'reposts': 0}","{'type': 'video', 'url': 'https://dms.licdn.com/playlist/vid/v2/D5605AQGRBc9Zmx7hDg/mp4-720p-30fp-crf28/B56ZdXI2jUGoBg-/0/1749513807561?e=1751310000&v=beta&t=43VU2dJj4FhD0IP0QfZGk43l_ma8SIuXtxrXURAL-H8'}",dXJuOmxpOmFjdGl2aXR5OjcwMjIzMjQ0NTEzNzEzNDM4NzItMTY3NDI1MjYxNzY3MQ==,,0,0
7338603440203304961,urn:li:ugcPost:7336534923861733376,"{'date': '2025-06-11 18:30:04', 'relative': '1 week ago • Visible to anyone on or off LinkedIn', 'timestamp': 1749659404803}","VCs pass on countless deals throughout their careers…
And inevitably, some of those passes become massive wins.
Here are the 3 questions Rick Smith asks himself when a pass wins big:

1. Did we even see the deal?
- If not, why not? Was it in our network? In our market? That’s a sourcing gap.

2. Was it in our strike zone?
- Right stage, right sector, right founder? If not, maybe it just wasn’t a fit.

3. Did we follow our process?
- If yes, then even a miss is a win. Because consistency > regret.

💡 The takeaway: Don’t obsess over what you didn’t do.

Obsess over having a repeatable process — and sticking to it.

🎥 Full Demo Day Podcast episode with Rick Smith (Co-Founder of Crosscut Ventures) in the comments!

#venturecapital #investor #investment #VC #startup #entrepreneur #founder",https://www.linkedin.com/posts/sean-goldfaden_venturecapital-investor-investment-activity-7338603440203304961-07Vf?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv9MvwB3nSm4ZT9Gi_Dg6kP_zXsE9l-QUU,regular,Sean Goldfaden,"{'total_reactions': 0, 'like': 0, 'support': 0, 'love': 0, 'insight': 0, 'celebrate': 0, 'comments': 1, 'reposts': 1}","{'type': 'video', 'url': 'https://dms.licdn.com/playlist/vid/v2/D5605AQErXAV3Hwri-Q/mp4-720p-30fp-crf28/B56ZdCbpCdHoBM-/0/1749166301834?e=1751310000&v=beta&t=1hnbsomfZkEn4ZpiyHpCNtY7uwsW1YU_qbQxF03Om5c'}",dXJuOmxpOmFjdGl2aXR5OjcwMjIzMjQ0NTEzNzEzNDM4NzItMTY3NDI1MjYxNzY3MQ==,,1,1
7337878685523316736,urn:li:activity:7337878685523316736,"{'date': '2025-06-09 18:30:09', 'relative': '2 weeks ago • Visible to anyone on or off LinkedIn', 'timestamp': 1749486609822}","Ever thought about launching your own VC fund?
You need to hear what Rick Smith shared 👇🏻

In one of our most honest convos yet, Rick walks through the real challenges of being a first-time VC — and how to survive long enough to raise Fund II.

Highlights from the episode:
- How Crosscut Ventures almost didn’t make it
- Why Fund II is the hardest to raise (and what gets you there)
- The mindset shift that made Rick a better investor
- What most junior VCs get wrong about breaking into the industry
- Why “swinging bigger” is the only path forward

Whether you're raising a fund, building a startup, or dreaming of doing both — this episode is required listening.

→ Link in the comments!

#venturecapital #startup #founders #fundraising #investing #vcfund #investor",https://www.linkedin.com/posts/sean-goldfaden_venturecapital-startup-founders-activity-7337878685523316736-y6LZ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv9MvwB3nSm4ZT9Gi_Dg6kP_zXsE9l-QUU,regular,Sean Goldfaden,"{'total_reactions': 20, 'like': 18, 'support': 0, 'love': 0, 'insight': 1, 'celebrate': 1, 'comments': 3, 'reposts': 1}","{'type': 'image', 'url': 'https://media.licdn.com/dms/image/v2/D5622AQFpwvP89T15fw/feedshare-shrink_2048_1536/B56ZdCWa.zHoAo-/0/1749164867478?e=1753315200&v=beta&t=L5_Uw4BZl8r-6isG1syH9-Bqxx7Zhzj3shTZMJJO5hI', 'images': [{'url': 'https://media.licdn.com/dms/image/v2/D5622AQFpwvP89T15fw/feedshare-shrink_2048_1536/B56ZdCWa.zHoAo-/0/1749164867478?e=1753315200&v=beta&t=L5_Uw4BZl8r-6isG1syH9-Bqxx7Zhzj3shTZMJJO5hI', 'width': 1535, 'height': 1536}]}",dXJuOmxpOmFjdGl2aXR5OjcwMjIzMjQ0NTEzNzEzNDM4NzItMTY3NDI1MjYxNzY3MQ==,,3,1
7336861550541946880,urn:li:activity:7336861550541946880,"{'date': '2025-06-06 23:08:25', 'relative': '2 weeks ago • Visible to anyone on or off LinkedIn', 'timestamp': 1749244105945}","Such a 🔥 shoot with Mastercard & Dave.
Need video & product photography? We got you ⬇️ 

Huge huge huuuuge shoutout to our team.

What a flawless execution.

Jen Goldfaden, Franco Patino, & Joel DeVries.

You three are magic!

❤️",https://www.linkedin.com/posts/sean-goldfaden_such-a-shoot-with-mastercard-dave-need-activity-7336861550541946880-K1EQ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv9MvwB3nSm4ZT9Gi_Dg6kP_zXsE9l-QUU,regular,Sean Goldfaden,"{'total_reactions': 8, 'like': 8, 'support': 0, 'love': 0, 'insight': 0, 'celebrate': 0, 'comments': 0, 'reposts': 0}","{'type': 'image', 'url': 'https://media.licdn.com/dms/image/v2/D5622AQEydDyE3iA2JQ/feedshare-shrink_2048_1536/B56ZdHEsnfGsAo-/0/1749244105276?e=1753315200&v=beta&t=gXCZDdxDEC7I2sVI3Srdd2h7MW6BOXHF5KjEphony2A', 'images': [{'url': 'https://media.licdn.com/dms/image/v2/D5622AQEydDyE3iA2JQ/feedshare-shrink_2048_1536/B56ZdHEsnfGsAo-/0/1749244105276?e=1753315200&v=beta&t=gXCZDdxDEC7I2sVI3Srdd2h7MW6BOXHF5KjEphony2A', 'width': 2048, 'height': 1365}]}",dXJuOmxpOmFjdGl2aXR5OjcwMjIzMjQ0NTEzNzEzNDM4NzItMTY3NDI1MjYxNzY3MQ==,,0,0
7336436667722977282,urn:li:ugcPost:7336432866420998145,"{'date': '2025-06-05 19:00:05', 'relative': '2 weeks ago • Visible to anyone on or off LinkedIn', 'timestamp': 1749142805987}","How we turn conference leads into calls (instantly)!
It all starts with a coin 🪙

Each custom CoEfficient Labs / SubSummit coin has a QR code that takes you to:

1️⃣ A central hub with all our #SubSummit content
2️⃣ A secret offer — $5,000 off a bundle of UGC videos 🎥

Whether you just want to see the interviews and recaps…

Or you’re a brand ready to level up your ad creative — the coin has you covered.

It’s rare. It’s fun. It’s actually valuable.

And we only made 100 of them — once they’re gone, they’re gone.

Let’s GO. #SubSummit2025

🎥 Watch the video for the full story 👇

#UGC #GrowthHacker #DTC #ContentMarketing #Subscription #DigitalMarketing #SocialMediaMarketing #Conference",https://www.linkedin.com/posts/sean-goldfaden_subsummit-subsummit2025-ugc-activity-7336436667722977282-uGT7?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv9MvwB3nSm4ZT9Gi_Dg6kP_zXsE9l-QUU,regular,Sean Goldfaden,"{'total_reactions': 6, 'like': 4, 'support': 0, 'love': 2, 'insight': 0, 'celebrate': 0, 'comments': 24, 'reposts': 2}","{'type': 'video', 'url': 'https://dms.licdn.com/playlist/vid/v2/D5605AQFkmTuhw1UrPw/mp4-720p-30fp-crf28/B56ZdA.0hiGsBM-/0/1749141930180?e=1751310000&v=beta&t=teukURLriX_XXG1UXEP-HRbBNvyR0Brxtp0xoEcvXbw'}",dXJuOmxpOmFjdGl2aXR5OjcwMjIzMjQ0NTEzNzEzNDM4NzItMTY3NDI1MjYxNzY3MQ==,,24,2
7336110656061919233,urn:li:ugcPost:7336107695881560068,"{'date': '2025-06-04 21:24:38', 'relative': '2 weeks ago • Visible to anyone on or off LinkedIn', 'timestamp': 1749065078750}","As we were getting kicked out…
We HAD to ask one more question:
What’s the point of going to events like these?

- This is how you meet people on a deeper level
- People do business with people
- Personal relationships are key to any business relationship
- It’s a great place to gain industry knowledge

Shoutout to our great interviewees:
- Nickeytha Ramsey @ Junobie, LLC
- Hemant Varshney @ DigiCom (Digital Commerce Corporation)
- Mike Constandatos, MBA @ DigiCom (Digital Commerce Corporation)
- Greg Johnston @ Fastr
- Allison Spalaris @ Vellabox

🎥 Watch the video for the full vibe 👇

#SubSummit2025 #SubSummit #DTC #UGC #Networking #SubscriptionEconomy #ContentMarketing #Subscriptions",https://www.linkedin.com/posts/sean-goldfaden_subsummit2025-subsummit-dtc-activity-7336110656061919233-Tcyd?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv9MvwB3nSm4ZT9Gi_Dg6kP_zXsE9l-QUU,regular,Sean Goldfaden,"{'total_reactions': 20, 'like': 15, 'support': 0, 'love': 2, 'insight': 0, 'celebrate': 2, 'comments': 0, 'reposts': 2}","{'type': 'video', 'url': 'https://dms.licdn.com/playlist/vid/v2/D5605AQFiGgRFSIxI-Q/mp4-720p-30fp-crf28/B56Zc8XFFHGsBQ-/0/1749065077201?e=1751310000&v=beta&t=t-IgsVsG6et3d6Mxa_LDXZp4cEnJLAPsNPN8kReUjaM'}",dXJuOmxpOmFjdGl2aXR5OjcwMjIzMjQ0NTEzNzEzNDM4NzItMTY3NDI1MjYxNzY3MQ==,,0,2
7335368709198282754,urn:li:ugcPost:7335368599638867969,"{'date': '2025-06-02 20:16:24', 'relative': '3 weeks ago • Visible to anyone on or off LinkedIn', 'timestamp': 1748888184833}","Giant dancing robots, an open bar…
LIVE Music from Mike Posner!! 
What the heck just happened at SubSummit?!? 👇🏻

In between all the chaos, we asked founders & marketers:

“What was your biggest takeaway from SubSummit 2025?”

The answers? 🔥

Special shout out to our closing night interviewees:

Jeremy Foreshew @ Talkable
Sanika Lahane

SubSummit — THANK YOU.

This was the best conference we’ve been to all year.
For anyone in #ECommerce & #Subscriptions…
This is a MUST in 2026!

10/10 Recommend!

🎥 Watch the video for the full afterparty energy 👇

#SubSummit2025 #Conference #DTC #ContentMarketing #UGC #SubscriptionEconomy",https://www.linkedin.com/posts/sean-goldfaden_ecommerce-subscriptions-subsummit2025-activity-7335368709198282754--Afy?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv9MvwB3nSm4ZT9Gi_Dg6kP_zXsE9l-QUU,regular,Sean Goldfaden,"{'total_reactions': 15, 'like': 9, 'support': 0, 'love': 5, 'insight': 0, 'celebrate': 1, 'comments': 6, 'reposts': 0}","{'type': 'video', 'url': 'https://dms.licdn.com/playlist/vid/v2/D5605AQFmVUntQXhU_g/mp4-720p-30fp-crf28/B56Zcx24DGHgBQ-/0/1748888181296?e=1751310000&v=beta&t=_larg049MmUt6WD1YQcaERkaumDGSsMNtWDQ-CJmKw4', 'thumbnail': 'https://media.licdn.com/dms/image/v2/D5605AQFmVUntQXhU_g/videocover-high/B56Zcx24DGHgBo-/0/1748888170990?e=1751310000&v=beta&t=WsCu0O5wENxWybtt45dgSbxpv74QLCllWrclb8vArGI'}",dXJuOmxpOmFjdGl2aXR5OjcwMjIzMjQ0NTEzNzEzNDM4NzItMTY3NDI1MjYxNzY3MQ==,,6,0
7334264137276866562,urn:li:ugcPost:7334263736330817536,"{'date': '2025-05-30 19:07:14', 'relative': '3 weeks ago • Visible to anyone on or off LinkedIn', 'timestamp': 1748624834365}","Attending conferences are a big investment…
Time, money, energy — it’s all costly.
Here’s what’s going down at #SubSummit2025 👇🏻

- The world’s best vendors for Subscription Brands
- The most cutting edge trends in AI
- Hearing great insights from speakers
- We’re all helping each other solve problems

Special shout out to our wonderful interviewees!
-Zohaib Rattu ☃️ @ Social Snowball ☃️
-Thomas Lalas @ The Art of eComm
-Brett Smith @ Google
-Cassandra Baas @ APC Postal Logistics

Stay tuned for more from the floor of SubSummit!

#SubSummit #Conference #Subscription #SubscriptionBrands #DTC #Marketing #Business",https://www.linkedin.com/posts/sean-goldfaden_subsummit2025-subsummit-conference-activity-7334264137276866562-cH_4?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv9MvwB3nSm4ZT9Gi_Dg6kP_zXsE9l-QUU,regular,Sean Goldfaden,"{'total_reactions': 23, 'like': 17, 'support': 0, 'love': 5, 'insight': 0, 'celebrate': 1, 'comments': 3, 'reposts': 4}","{'type': 'video', 'url': 'https://dms.licdn.com/playlist/vid/v2/D5605AQFNNy1GhimBdw/mp4-720p-30fp-crf28/B56ZciKAh1G0BM-/0/1748624826145?e=1751310000&v=beta&t=8SEdS4a7Wy_Qauo3Ix55Yl5jh6KTQy_91_o0bbbs7jI'}",dXJuOmxpOmFjdGl2aXR5OjcwMjIzMjQ0NTEzNzEzNDM4NzItMTY3NDI1MjYxNzY3MQ==,,3,4
7333994650879348736,urn:li:ugcPost:7333994204345286657,"{'date': '2025-05-30 01:16:23', 'relative': '3 weeks ago • Visible to anyone on or off LinkedIn', 'timestamp': 1748560583801}","Day 2 @ SubSummit — in the books!
And you won’t believe how it ended👇

First we saw some great panelists:
-Trovon C. Williams, MBA @ NAACP
-Julie Hansen @ Babbel
-Christopher George @ SubSummit
-Megan Krouse @ Cinemark
-Joe Rohrlich @ Recurly

Then we saw the Above The Fold Podcast LIVE: 
-Amazing Host - Jess Cervellon @ Open Late Collective
-Rockstar Guest - Ren Fuller-Wasserman @ TUSHY - hellotushy.com

Followed by one of the best dinners EVER!

Nik Sharma — you’re the man! (thanks for having us)
Ian Myers 🌊 (Oceans) — appreciate you guys!
Michael Broukhim (FabFitFun) — great meeting you!

Wouldn’t be a FULL day without the After Hours Party!

Chewonthis DTC — you guys crushed it!

We’re having a blast at #SubSummit!

Special thanks to our Day 2 interviewees!:
-Nikeytha Ramsey @ Junobie, LLC
-Zohaib Rattu ☃️ @ Social Snowball ☃️
-Thomas Lalas @ The Art of eComm
-Reed Corry @ Brevo
-Daniel Miyares @ KODIF
-Dr. Brandon Smith @ Vensure Employer Solutions
-David Valentine @ Finch
-Rachel Haley @ Finch
-Cameron Gawley @ Gardencup

DAY 3! WE’RE COMING FOR YOU!

🚀

#SubSummit2025 #SubscriptionEconomy #DTCMarketing #SAAS",https://www.linkedin.com/posts/sean-goldfaden_subsummit-subsummit2025-subscriptioneconomy-activity-7333994650879348736-S91q?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv9MvwB3nSm4ZT9Gi_Dg6kP_zXsE9l-QUU,regular,Sean Goldfaden,"{'total_reactions': 22, 'like': 15, 'support': 0, 'love': 7, 'insight': 0, 'celebrate': 0, 'comments': 3, 'reposts': 2}","{'type': 'video', 'url': 'https://dms.licdn.com/playlist/vid/v2/D5605AQGq96yi3bZs-g/mp4-720p-30fp-crf28/B56ZceU3nKHUBQ-/0/1748560581626?e=1751310000&v=beta&t=MRvnXokHve1tpEj2cAOeEwnkXhri3u0KB5DREiiXvKM'}",dXJuOmxpOmFjdGl2aXR5OjcwMjIzMjQ0NTEzNzEzNDM4NzItMTY3NDI1MjYxNzY3MQ==,,3,2
7333952681457188864,urn:li:ugcPost:7333952679833948161,"{'date': '2025-05-29 22:29:37', 'relative': '3 weeks ago • Visible to anyone on or off LinkedIn', 'timestamp': 1748550577511}","Conferences can be overwhelming as f***!
Here’s how to get the most value from them👇🏻

1. Map your plan BEFORE the event
2. Know which ppl you absolutely want to talk with
3. Find brands you can partner with
4. Even if you don’t sell — awareness breeds awareness!
5. Get over your fear — say f*** it — and introduce yourself!

Special shout out to our wonderful interviewees!
-Jake Tlapek @ Finch
-Ian Myers 🌊 @ Oceans
-Eliott Khodari @ Curate to Create Manufacturing

SubSummit - we love you guys!

Christopher George - such an epic event! Thanks man 👊🏻",https://www.linkedin.com/posts/sean-goldfaden_conferences-can-be-overwhelming-as-f-activity-7333952681457188864-DOBn?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFv9MvwB3nSm4ZT9Gi_Dg6kP_zXsE9l-QUU,regular,Sean Goldfaden,"{'total_reactions': 11, 'like': 11, 'support': 0, 'love': 0, 'insight': 0, 'celebrate': 0, 'comments': 1, 'reposts': 0}","{'type': 'video', 'url': 'https://dms.licdn.com/playlist/vid/v2/D5605AQFHI7H1PK8dKw/mp4-720p-30fp-crf28/B56ZcdXcO2G0BU-/0/1748544486770?e=1751310000&v=beta&t=nimGsypl4QJJHDdHy8LEpScZWNYyCNMfCgzUUis_e4s'}",dXJuOmxpOmFjdGl2aXR5OjcwMjIzMjQ0NTEzNzEzNDM4NzItMTY3NDI1MjYxNzY3MQ==,,1,0
